2015.875,  40.70
2015.958,  40.50
2016.042,  41.80
2016.125,  40.40
2016.208,  39.70
2016.292,  38.80
2016.375,  37.00
2016.458,  39.30
2016.542,  39.70
2016.625,  36.40
2016.708,  37.50
2016.792,  36.40
2016.875,  40.80
2016.958,  38.90
2017.042,  37.60
2017.125,  35.30
2017.208,  38.60
2017.292,  39.90
2017.375,  38.30
2017.458,  38.80
2017.542,  41.20
2017.625,  42.50
2017.708,  42.60
2017.792,  40.80
2017.875,  44.50
2017.958,  43.40
2018.042,  42.30
2018.125,  41.50
2018.208,  43.20
2018.292,  39.00
2018.375,  43.60
2018.458,  42.30
2018.542,  45.70
2018.625,  43.90
2018.708,  47.60
2018.792,  47.10
2018.875,  46.80
2018.958,  45.30
2019.042,  48.10
2019.125,  48.30
2019.208,  50.70
2019.292,  48.40
2019.375,  51.10
2019.458,  51.00
2019.542,  52.40
2019.625,  54.30
2019.708,  53.50
2019.792,  52.40
2019.875,  52.30
2019.958,  53.10
2020.042,  49.50
2020.125,  53.70
2020.208,  51.00
2020.292,  52.80
2020.375,  52.70
2020.458,  54.40
2020.542,  55.20
